latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.974,-106.255,347,3.1,1.7,2020-10-02,2050,A,64,6.0NRT,292.6,241.9,D
40.972,-106.29,341.8,3.1,1.7,2020-10-02,2050,A,64,6.0NRT,297.3,172.1,D
40.97,-106.325,335.3,3.1,1.7,2020-10-02,2050,A,61,6.0NRT,301.3,128.3,D
40.989,-106.257,465.2,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,319.5,4759,D
40.987,-106.292,377.7,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,308.8,672,D
41.004,-106.258,400,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,302.8,1280,D
41.002,-106.294,379.9,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,307.9,727.1,D
41.019,-106.259,343.9,3.1,1.7,2020-10-02,2050,A,47,6.0NRT,289.9,212.5,D
41.017,-106.294,384.5,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,300.9,816,D
41.015,-106.329,338.2,3.1,1.7,2020-10-02,2050,A,44,6.0NRT,301.9,129.9,D
41.032,-106.296,378.5,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,299.8,687.6,D
41.05,-106.227,335.4,3.1,1.7,2020-10-02,2050,A,49,6.0NRT,290.2,154.4,D
